artist,genre
Witchtrap,black thrash
Izïa,french indie pop
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",rap
Pitbull Featuring TJR,pop
Chris Brown & Tyga,pop
"quickly, quickly",chillhop
JPEGMAFIA,alternative hip hop
Expire,chaotic hardcore
Winterwolf,finnish death metal
G-Eazy Featuring A$AP Rocky & Cardi B,pop
Ben Lukas Boysen,ambient
Chief Keef Featuring Lil Reese,chicago bop
Craig Armstrong,soundtrack
Chris Blue,deep talent show
"YG, Tyga & Jon Z",rap
A Boogie Wit da Hoodie Featuring Offset & Tyga,rap
Danne Stråhed,classic swedish pop
Lupe Fiasco,rap
DJ Khaled Featuring Jay Z & Future,pop
Linkin Park Featuring Kiiara,alternative metal
I Will Never Be The Same,future rock
Assaulter,black thrash
Trey Songz,pop
Fleddy Melculy,belgian metal
Mikkel Metal,danish techno
Jeremih Featuring J. Cole,pop
Roscoe Dash,atl hip hop
Sun Diego,deep german hip hop
Eric Church,country
Mr. Lif,abstract hip hop
SZA,pop
ScHoolboy Q Featuring 21 Savage,rap
Drake Featuring Giggs,canadian hip hop
Hexer,atmospheric doom
Keys N Krates,bass trap
G-Eazy & Halsey,pop
Ed Sheeran,pop
Roddy Ricch,rap
Calvin Harris Featuring Florence Welch,pop
Pigeon Hole,experimental bass
il:lo,vapor twitch
Skeptical,deep dubstep
Bobby Helms,adult standards
Charles Koechlin,early modern classical
Lil Wayne Featuring Detail,rap
Lukas Graham,pop
2 Chainz Featuring Travis Scott,atl hip hop
Zero Bedroom Apartment,compositional ambient
John Powell,soundtrack
Sam Smith & Normani,pop
Neeti Mohan,desi pop
The Arcs,rock
Dean Martin,adult standards
Foxygen,baroque pop
JFC,future ambient
Flamin' Groovies,classic garage rock
Cygnus X,trance
Blackmill,chillstep
George Strait,country
Les Friction,epicore
Polo G Featuring Lil Tjay,chicago rap
Johnny O.,freestyle
Calvin Harris & Disciples,pop
AIKA,future bass
Emerald Sun,greek metal
Future & Juice WRLD,atl hip hop
LMFAO,dance pop
Belly Featuring The Weeknd,trap
Shakira Featuring Freshlyground,pop
Viktoria Tolstoy,contemporary vocal jazz
The Weeknd Featuring Lana Del Rey,canadian contemporary r&b
Jack Johnson,neo mellow
Pitbull,pop
Disparaged,swiss metal
Chris Brown Featuring Lil Wayne & Busta Rhymes,pop
Drake Featuring Nicki Minaj,canadian hip hop
G-Space,experimental bass
DJ Luke Nasty,north carolina hip hop
Archipel,french indietronica
Black Dawn,finnish black metal
Alan Walker,electro house
Kool Keith,abstract hip hop
Kelly Clarkson,pop
Jana Kramer,country
Marshmello,pop
Javier Colon,deep talent show
Sleeping At Last,pop
Lecrae,ccm
Jeezy,atl hip hop
Doctor P,dubstep
Atilla,calypso
Camila Cabello Featuring DaBaby,pop
Sledding With Tigers,folk punk
David Guetta Featuring Akon,pop
Helloween,metal
Pentatonix,a cappella
Nat King Cole,adult standards
Ingrid Michaelson,acoustic pop
Playboi Carti Featuring Lil Uzi Vert,atl hip hop
Sage The Gemini Featuring IamSu!,dance pop
William Prince,canadian indigenous
Gunna,rap
Elder Island,electronica
David Pfeffer,german pop
Maluma X Nego do Borel,reggaeton
Mr Eazi,afro dancehall
Days N Daze,acoustic punk
Beyond Helvete,autonomous black metal
Matt McAndrew,deep talent show
Wild Child,austin americana
Purity Ring,art pop
Anne Hathaway,hollywood
Raggarkungen,danspunk
Justin Bieber Featuring Nicki Minaj,pop
Adventure Club,brostep
Usher Featuring Plies,atl hip hop
Ivo Phi,asmr
In Aeternam Vale,grave wave
DJ Suede The Remix God,viral trap
Banda Los Sebastianes,banda
John Prine,alternative country
Enrique Iglesias Featuring Wisin,pop
Exhumed,brutal death metal
Das Kabinette,grave wave
Post Malone Featuring Future & Halsey,rap
Machine Gun Kelly Featuring Hailee Steinfeld,ohio hip hop
David Guetta Featuring Usher,pop
MGK Featuring Waka Flocka Flame,ohio hip hop
Chihei Hatakeyama,ambient
fun.,baroque pop
Dangerous,chilean metal
Kat Frankie,german indie
OMI,dance pop
Bad Bunny Featuring Drake,latin
Metro Boomin Featuring 21 Savage,hip hop
The Mountain Goats,alternative rock
Killswitch Engage,alternative metal
Panzerchrist,danish death metal
Led Er Est,dark post-punk
Lil Wayne Featuring Big Sean,rap
Beach Fossils,brooklyn indie
The American Dollar,post-rock
Anne Dudley,soundtrack
21 Savage,atl hip hop
Don Costa,easy listening
Jay Sean Featuring Lil Wayne,dance pop
Jerry Paper,experimental pop
Lil Skies,rap
11 Acorn Lane,electro swing
MC G15,funk carioca
Stan Getz,jazz
Tessanne Chin,deep talent show
The Shaking Sensations,atmospheric post-rock
Shinedown,alternative metal
Forever The Sickest Kids,electropowerpop
Ducktails,baroque pop
Earthen Sea,experimental ambient
Usher Featuring Nicki Minaj,atl hip hop
Red Garland,jazz
Dollar Signs,charlotte nc indie
Delayde,chillhop
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",rap
Doomdogs,gothenburg metal
The Petulant,danish metal
Walker & Royce,house
Lopazz,german techno
Kristen Bell & Santino Fontana,disney
"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",rap
Kim Fowley,classic garage rock
Andreilien,glitch hop
Wilco,alternative country
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",latin
Pepe Aguilar,latin talent show
High Tone,dub
The Glands,athens indie
Marilyn Scott,contemporary vocal jazz
Push,trance
Lord Huron,indie folk
Chris Brown Featuring Tyga & Kevin McCall,pop
Palomo,musica mexicana
Birdman Featuring Drake & Lil Wayne,rap
Times Of Grace,metalcore
Chet Baker,jazz
Zac Brown Band Featuring Alan Jackson,country
Niigata,atmosphere
Macklemore & Ryan Lewis Featuring Ray Dalton,pop
Dr. Dre Featuring Eminem & Skylar Grey,rap
